City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Muros,42.7762,-9.0603,63.84,84,90,1.83,ES,1627773092
Skibbereen,51.55,-9.2667,58.8,87,58,6.38,IE,1627773674
Dawei,14.0833,98.2,76.78,93,100,5.73,MM,1627773675
Bayjī,34.9311,43.487,97.99,16,66,13.4,IQ,1627773675
Bulgan,48.8125,103.5347,56.03,90,56,2.35,MN,1627773675
Nānākuli,21.3906,-158.1547,89.55,50,20,10.36,US,1627773614
Ilulissat,69.2167,-51.1,57.22,47,27,11.5,GL,1627773676
Zhezkazgan,47.8043,67.7144,76.06,20,1,4.56,KZ,1627773676
Mareeba,-17.0,145.4333,72.32,86,15,4.65,AU,1627773676
Vao,-22.6667,167.4833,66.74,59,0,20.11,NC,1627773677
Praia,14.9215,-23.5087,77.54,78,20,12.66,CV,1627773677
Conde,-7.2597,-34.9075,72.86,94,40,10.36,BR,1627773678
Hasaki,35.7333,140.8333,82.8,83,26,3.83,JP,1627773678
Baiyin,36.5583,104.2081,63.48,28,0,4.41,CN,1627773678
Los Llanos de Aridane,28.6585,-17.9182,69.55,84,90,19.57,ES,1627773679
Kilindoni,-7.9139,39.6668,75.63,81,32,19.95,TZ,1627773679
Hualmay,-11.0964,-77.6139,64.98,79,27,12.08,PE,1627773679
Guaxupé,-21.3053,-46.7128,57.2,41,27,5.73,BR,1627773680
Muscat,23.6139,58.5922,91.42,63,47,7.58,OM,1627773680
Kiryat Gat,31.61,34.7642,84.4,50,0,2.19,IL,1627773681
Lebu,-37.6167,-73.65,47.57,85,2,14.09,CL,1627773681
Nouadhibou,20.931,-17.0347,69.78,88,5,19.57,MR,1627773531
Gaomi,36.3833,119.7528,78.58,88,34,1.99,CN,1627773681
Kontagora,10.3999,5.4695,73.0,91,83,4.74,NG,1627773682
Río Gallegos,-51.6226,-69.2181,42.85,45,75,21.85,AR,1627773682
Omsukchan,62.5333,155.8,49.23,79,85,13.71,RU,1627773683
Hamina,60.5697,27.1979,61.88,92,12,12.35,FI,1627773683
Oddur,4.1213,43.8894,70.99,63,89,19.98,SO,1627773683
Bosaso,11.2842,49.1816,88.05,37,50,20.09,SO,1627773684
Frunze,48.6686,38.7544,71.69,66,2,2.75,UA,1627773684
Provincia di Campobasso,41.6333,14.5833,73.17,50,0,8.55,IT,1627773684
Bereda,43.2686,-7.5406,55.92,99,12,1.54,ES,1627773685
Bambous Virieux,-20.3428,57.7575,70.05,78,40,11.5,MU,1627773685
La Ronge,55.1001,-105.2842,77.25,36,40,5.75,CA,1627773685
Sumbe,-11.2061,13.8437,69.93,93,4,6.11,AO,1627773686
Khowst,33.3833,69.8833,75.72,81,12,1.57,AF,1627773686
Aripuanã,-9.1667,-60.6333,76.35,40,8,1.54,BR,1627773686
St. Marys,30.7305,-81.5465,93.42,65,40,5.99,US,1627773429
Shāhābād,27.65,79.95,81.39,82,88,11.72,IN,1627773687
Ketchikan,55.3422,-131.6461,72.07,68,1,14.97,US,1627773422
Lerwick,60.1545,-1.1494,51.8,81,86,17.85,GB,1627773687
Muroto-misakicho,33.2833,134.15,82.44,69,37,1.83,JP,1627773688
Lahān,26.7296,86.4951,79.03,87,89,6.76,NP,1627773688
Esperance,-33.8667,121.9,48.04,86,55,26.35,AU,1627773688
Buin,-33.7333,-70.75,64.74,42,50,3.38,CL,1627773689
Ixtapa,20.7,-105.2,87.22,74,75,10.36,MX,1627773689
Le Port,-20.9373,55.2919,66.16,72,10,5.77,RE,1627773689
Comodoro Rivadavia,-45.8667,-67.5,49.86,25,0,16.11,AR,1627773690
Carnarvon,-24.8667,113.6333,53.67,57,90,5.75,AU,1627773690
Nishihara,26.1842,127.7558,83.48,89,75,14.97,JP,1627773690
Westport,41.1415,-73.3579,76.05,53,1,3.0,US,1627773691
Goundam,16.4145,-3.6708,88.38,44,22,8.93,ML,1627773691
Acoyapa,11.9703,-85.1711,86.09,80,98,12.5,NI,1627773692
Harper,4.375,-7.7169,76.66,84,100,11.05,LR,1627773692
Chara,56.9064,118.2631,57.31,65,45,3.94,RU,1627773692
Katobu,-4.9408,122.5276,74.89,92,100,3.36,ID,1627773693
Isangel,-19.55,169.2667,73.51,68,75,16.11,VU,1627773497
Kirakira,-10.4544,161.9205,80.71,68,94,5.79,SB,1627773693
Klaksvík,62.2266,-6.589,47.32,76,87,12.17,FO,1627773693
Nanortalik,60.1432,-45.2371,47.64,82,89,10.67,GL,1627773509
Khudumelapye,-23.8833,24.75,47.79,40,0,6.46,BW,1627773694
Nhulunbuy,-12.2333,136.7667,83.01,69,25,12.66,AU,1627773694
Andenes,69.3143,16.1194,46.38,87,90,9.22,NO,1627773695
Taltal,-25.4,-70.4833,62.08,69,20,6.91,CL,1627773695
Lianzhou,24.7811,112.3825,78.31,93,100,0.67,CN,1627773695
Alice Springs,-23.7,133.8833,58.55,67,0,5.75,AU,1627773556
Sūsangerd,31.5608,48.1831,87.82,12,0,8.08,IR,1627773696
Sobolevo,54.4299,31.8996,63.61,72,100,6.29,RU,1627773696
Mariel,22.9875,-82.7536,84.97,72,30,9.04,CU,1627773697
Chivilcoy,-34.8957,-60.0167,48.94,56,15,4.41,AR,1627773697
Potsdam,52.3989,13.0657,66.02,88,12,7.63,DE,1627773697
Ajdabiya,30.7554,20.2263,82.0,50,0,11.81,LY,1627773698
Warner Robins,32.621,-83.5999,91.54,66,75,5.75,US,1627773462
Vangaindrano,-23.35,47.6,62.4,79,39,0.09,MG,1627773698
Pajapan,18.25,-94.7,84.36,68,83,10.13,MX,1627773699
Bemidji,47.4736,-94.8803,78.06,37,40,11.5,US,1627773496
Dubbo,-32.25,148.6167,60.93,67,0,5.75,AU,1627773699
Ramsar,36.9226,50.6426,78.17,86,54,1.92,IR,1627773699
Gboko,7.3179,8.9951,74.84,75,98,5.82,NG,1627773700
Ouidah,6.3631,2.0851,78.66,87,95,8.95,BJ,1627773700
Matagami,49.7502,-77.6328,68.11,49,75,9.22,CA,1627773700
Kahului,20.8947,-156.47,86.97,63,20,29.93,US,1627773462
Zunheboto,25.9667,94.5167,64.67,100,100,0.54,IN,1627773701
Nefteyugansk,61.0998,72.6035,48.45,88,56,6.04,RU,1627773701
Nyírtass,48.1167,22.0333,65.41,86,3,3.85,HU,1627773701
Matara,5.9485,80.5353,77.5,88,49,10.11,LK,1627773702
Brownsville,25.9018,-97.4975,91.89,64,20,5.01,US,1627773551
Arrondissement de Limoux,42.9167,2.1667,59.7,88,100,6.91,FR,1627773702
Shatki,55.1887,44.1249,61.72,79,42,5.82,RU,1627773703
Alexandria,31.2156,29.9553,80.82,72,0,4.18,EG,1627773075
East London,-33.0153,27.9116,66.09,25,95,6.6,ZA,1627773453
Redmond,47.674,-122.1215,80.53,62,100,1.99,US,1627773447
Bereket,39.2446,55.5154,81.25,10,3,7.92,TM,1627773703
Fasa,28.9383,53.6482,74.44,33,0,0.0,IR,1627773704
Chapais,49.7834,-74.8492,64.18,51,52,9.51,CA,1627773557
Touba,8.2833,-7.6833,69.98,96,80,5.3,CI,1627773704
San Andrés,12.5847,-81.7006,86.02,74,20,16.11,CO,1627773704
Bafilo,9.35,1.2667,68.41,94,97,1.9,TG,1627773705
Kismayo,-0.3582,42.5454,74.91,85,76,19.3,SO,1627773705
Batagay-Alyta,67.8006,130.4114,66.72,57,43,4.38,RU,1627773706
Mossendjo,-2.9506,12.7261,69.1,78,17,3.18,CG,1627773706
The Valley,18.217,-63.0578,84.06,80,1,17.02,AI,1627773706
Christchurch,-43.5333,172.6333,53.91,83,90,8.01,NZ,1627772950
Nador,35.174,-2.9287,75.45,41,0,18.41,MA,1627773707
Carballo,43.213,-8.691,60.87,87,47,3.83,ES,1627773707
Loandjili,-4.7561,11.8578,69.91,94,20,2.3,CG,1627773707
Zhigansk,66.7697,123.3711,71.71,41,15,8.37,RU,1627773708
Catherinas Lust,6.4,-57.6,78.33,84,46,5.88,GY,1627773492
Maputo,-25.9653,32.5892,60.58,85,0,5.26,MZ,1627773113
Prince George,53.9166,-122.753,88.25,39,1,1.01,CA,1627773708
Daru,-9.0763,143.2092,77.02,86,100,17.25,PG,1627773709
Zemio,5.0314,25.1361,66.31,97,99,3.94,CF,1627773709
Fort Nelson,58.8053,-122.7002,89.19,22,20,2.3,CA,1627773709
Garoowe,8.4054,48.4845,78.37,41,95,15.37,SO,1627773710
Mangaratiba,-22.9597,-44.0406,58.06,84,36,2.33,BR,1627773710
Vardø,70.3705,31.1107,48.33,92,99,10.76,NO,1627773710
Mehamn,71.0357,27.8492,47.08,96,100,8.28,NO,1627773711
Ségou,13.4317,-6.2157,77.43,83,86,10.83,ML,1627773711
Yenagoa,4.9247,6.2642,75.31,88,98,4.43,NG,1627773711
Mujiayingzi,42.1167,118.7833,67.59,78,100,8.59,CN,1627773712
Juneau,58.3019,-134.4197,82.85,62,40,6.91,US,1627773712
Dubrovka,53.6907,33.5071,62.58,70,92,6.51,RU,1627773712
Luena,-11.7833,19.9167,52.54,43,0,4.85,AO,1627773713
Tromsø,69.6496,18.957,45.37,81,75,5.75,NO,1627773475
Marawi,7.9986,124.2928,69.66,88,77,2.59,PH,1627773713
Betsiamites,48.9413,-68.646,66.29,72,85,7.67,CA,1627773713
Luanda,-8.8368,13.2343,69.24,91,0,4.34,AO,1627773530
Chānda,19.95,79.3,77.2,79,100,12.75,IN,1627773714
Rantepao,-2.9701,119.8978,67.75,97,99,1.57,ID,1627773714
Sur,22.5667,59.5289,88.3,61,43,7.9,OM,1627773714
Philadelphia,39.9523,-75.1638,79.99,46,40,4.0,US,1627773605
Guerrero Negro,27.9769,-114.0611,83.41,51,11,13.98,MX,1627773715
Korla,41.7597,86.1469,70.56,39,96,18.14,CN,1627773715
Mizoch,50.4,26.15,64.24,97,99,4.63,UA,1627773715
Muisne,0.6,-80.0333,75.85,85,100,11.59,EC,1627773716
Iqaluit,63.7506,-68.5145,55.13,66,75,0.0,CA,1627773716
Moses Lake,47.1301,-119.2781,108.28,16,90,10.36,US,1627773716
Inhambane,-23.865,35.3833,63.39,80,0,5.06,MZ,1627773695
Porto-Novo,6.4965,2.6036,78.62,89,99,5.37,BJ,1627773717
Goryachegorsk,55.4053,88.9154,54.14,80,77,4.74,RU,1627773717
Zaoyang,32.1272,112.7542,80.26,88,0,4.74,CN,1627773718
Baturaja,-4.1333,104.1667,71.83,95,34,1.9,ID,1627773718
Chimbote,-9.0853,-78.5783,65.52,82,11,12.95,PE,1627773718
Kelowna,49.8831,-119.4857,92.28,27,90,6.91,CA,1627773660
Prymors'k,46.7348,36.3443,76.32,59,11,5.19,UA,1627773719
Hokitika,-42.7167,170.9667,54.45,82,100,6.15,NZ,1627773719
Puerto Escondido,15.85,-97.0667,88.63,62,75,9.22,MX,1627773719
Chengzihe,45.3333,131.0667,78.75,69,66,11.61,CN,1627773720
Ukiah,39.1502,-123.2078,106.52,22,1,12.66,US,1627773631
Unaí,-16.3575,-46.9061,70.79,53,50,3.27,BR,1627773644
Bukama,-9.2,25.85,67.57,36,1,3.6,CD,1627773720
Neijiang,29.5835,105.0622,72.05,82,0,3.94,CN,1627773721
Jipapad,12.2861,125.2353,83.77,76,98,5.68,PH,1627773721
Luwuk,-0.9516,122.7875,78.13,85,21,4.5,ID,1627773721
Ipixuna,-1.7625,-48.8043,75.15,97,56,3.58,BR,1627773722
São Filipe,14.8961,-24.4956,75.81,84,84,8.21,CV,1627773722
Tuy Hoa,13.0833,109.3,82.35,69,89,12.95,VN,1627773722
Bashtanka,47.4072,32.4387,74.55,55,0,3.78,UA,1627773723
San Lorenzo,-25.3333,-57.5333,54.59,81,0,5.01,PY,1627773723
Kutum,14.2,24.6667,72.55,72,100,13.85,SD,1627773724
Gobabis,-22.45,18.9667,47.98,40,0,11.59,NA,1627773724
Talitsa,56.8804,60.0213,63.14,96,99,7.54,RU,1627773724
Saint-Joseph,-21.3667,55.6167,64.76,80,16,11.27,RE,1627773725
Moerai,-22.4333,-151.3333,71.69,64,23,13.98,PF,1627773725
Punta Cardon,11.6581,-70.215,81.57,77,4,32.39,VE,1627773725
Carutapera,-1.195,-46.02,75.13,92,28,3.98,BR,1627773726
Nur-Sultan,51.1801,71.446,64.35,63,0,2.24,KZ,1627773541
Tessalit,20.1986,1.0114,91.08,33,46,11.56,ML,1627773699
Malino,15.1257,120.6727,82.85,88,100,4.9,PH,1627773726
Fuerte Olimpo,-21.0415,-57.8738,71.26,16,99,9.26,PY,1627773726
Farsund,58.0948,6.8047,55.94,86,53,23.89,NO,1627773727
Poções,-14.5297,-40.3653,58.98,89,100,8.63,BR,1627773727
Scottsbluff,41.8666,-103.6672,84.43,40,1,5.01,US,1627773646
Severodvinsk,64.5635,39.8302,57.31,99,93,5.97,RU,1627773728
Huanren,41.2647,125.3667,74.19,95,69,4.14,CN,1627773728
Huilong,31.8111,121.655,84.04,91,100,10.29,CN,1627773728
Palauig,15.435,119.9045,81.54,87,100,12.95,PH,1627773729
Tamiahua,21.2667,-97.45,85.62,65,46,10.63,MX,1627773729
Shunyi,40.125,116.6453,80.55,53,0,13.42,CN,1627773729
Saiha,22.4833,92.9667,70.45,98,100,2.51,IN,1627773730
Ostrovnoy,68.0531,39.5131,46.36,96,97,4.72,RU,1627773730
Tuatapere,-46.1333,167.6833,48.81,95,100,2.19,NZ,1627773730
Pemba,-12.974,40.5178,74.1,83,75,13.8,MZ,1627773730
Havre-St-Pierre,50.2334,-63.5986,59.36,88,90,12.66,CA,1627773731
Grande Prairie,55.1667,-118.8027,86.18,42,20,8.05,CA,1627773731
Rønne,55.1009,14.7066,64.31,82,75,21.85,DK,1627773731
Lewistown,40.5992,-77.5714,80.91,50,1,3.44,US,1627773732
Lompoc,34.6391,-120.4579,90.12,70,1,16.11,US,1627773732
Lincoln,40.8,-96.667,82.38,61,1,1.99,US,1627773733
Komsomolets,53.7453,62.0708,65.12,86,54,10.71,KZ,1627773733
Novyye Burasy,52.1324,46.0714,71.83,76,26,1.88,RU,1627773733
Ancud,-41.8697,-73.8203,40.53,80,31,2.8,CL,1627773734
San Patricio,28.017,-97.5169,93.88,57,62,16.91,US,1627773464
Coahuayana Viejo,18.7333,-103.6833,90.88,67,97,4.59,MX,1627773676
Maragogi,-9.0122,-35.2225,77.65,69,72,13.94,BR,1627773734
Kendari,-3.945,122.4989,75.09,93,87,2.77,ID,1627773493
Ribas do Rio Pardo,-20.4431,-53.7592,64.4,32,80,8.01,BR,1627773734
Naryan-Mar,67.6713,53.087,54.28,94,100,9.82,RU,1627773735
Ust-Nera,64.5667,143.2,65.41,49,80,3.85,RU,1627773735
Tandur,17.2333,77.5833,72.16,88,100,14.18,IN,1627773735
Emporia,38.4039,-96.1817,91.22,70,1,12.66,US,1627773736
Gouyave,12.1646,-61.7296,81.37,89,20,14.97,GD,1627773736
Krasnyy Yar,46.5331,48.3456,67.93,58,69,4.92,RU,1627773736
Gibraleón,37.3763,-6.969,70.02,34,97,17.76,ES,1627773737
Awjilah,29.1081,21.2869,86.5,25,0,12.21,LY,1627773737
Faanui,-16.4833,-151.75,78.03,63,70,15.73,PF,1627773737
Bilibino,68.0546,166.4372,48.74,53,93,4.74,RU,1627773738
Saint Andrews,34.0454,-81.1293,93.13,63,75,3.0,US,1627773738
Nouakchott,18.0858,-15.9785,75.13,83,41,12.3,MR,1627773539
Kerema,-7.9631,145.7785,77.61,86,91,4.45,PG,1627773738
Tazovsky,67.4667,78.7,49.51,84,97,6.89,RU,1627773739
Prince Rupert,54.3161,-130.3201,59.09,93,90,9.22,CA,1627773537
Bellavista,-7.0561,-76.5911,79.88,76,22,0.6,PE,1627773739
Gurupá,-1.405,-51.64,73.53,97,100,2.57,BR,1627773739
Ol'ga,43.7444,135.2892,69.28,97,100,9.01,RU,1627773740
Staryy Nadym,65.6118,72.6842,48.36,82,48,8.37,RU,1627773740
Margate,51.3813,1.3862,62.31,90,50,1.01,GB,1627773741
Vanavara,60.34,102.2797,60.64,84,100,3.6,RU,1627773741
Tasiilaq,65.6145,-37.6368,48.36,79,64,2.82,GL,1627773741
Shenjiamen,29.9576,122.298,80.4,90,91,10.67,CN,1627773742
Kalat,29.0225,66.5916,70.39,25,0,2.59,PK,1627773742
Escuinapa,22.85,-105.8,87.71,66,100,6.17,MX,1627773743
Beloha,-25.1667,45.05,63.18,75,0,11.32,MG,1627773743
Calvinia,-31.4707,19.776,55.17,26,49,5.14,ZA,1627773743
Cassilândia,-19.1133,-51.7342,66.61,29,11,5.35,BR,1627773744
Gull Lake,50.1001,-108.4847,89.96,17,0,7.83,CA,1627773744
Boddam,57.4667,-1.7833,53.71,72,100,15.75,GB,1627773745
Lorengau,-2.0226,147.2712,83.44,71,56,5.03,PG,1627773463
Whyalla,-33.0333,137.5833,48.09,100,28,9.22,AU,1627773745
Abhā,18.2164,42.5053,62.42,94,0,0.0,SA,1627773746
Cocobeach,1.0002,9.5823,78.73,80,92,7.81,GA,1627773746
Tyrma,50.0833,132.1667,65.59,92,86,8.72,RU,1627773746
Rudnaya Pristan',44.3614,135.8116,70.21,91,100,9.6,RU,1627773746
Saint Anthony,45.0205,-93.218,85.93,39,20,10.0,US,1627773747
Saint-Prosper,46.2117,-70.4811,65.68,55,18,9.06,CA,1627773747
Ōdachō-ōda,35.1833,132.5,79.57,69,21,3.09,JP,1627773747
Saint-Pierre,-21.3393,55.4781,65.84,70,20,6.91,RE,1627773748
Burla,21.5,83.8667,74.79,93,100,6.93,IN,1627773748
Salalah,17.0151,54.0924,77.09,94,90,6.91,OM,1627773748
Banjar,-8.19,114.9675,78.66,86,44,5.59,ID,1627773749
Buraidah,26.326,43.975,84.65,12,2,7.36,SA,1627773688
Boa Vista,2.8197,-60.6733,82.38,74,75,3.44,BR,1627773749
Don Benito,38.9563,-5.8616,64.92,47,7,8.72,ES,1627773750
Koumac,-20.5667,164.2833,70.45,51,12,14.63,NC,1627773750
San Policarpo,12.1791,125.5072,82.72,79,99,8.14,PH,1627773750
Palmer,42.1584,-72.3287,72.21,52,40,9.22,US,1627773627
Sechura,-5.5569,-80.8222,71.69,66,9,17.22,PE,1627773751
Kiama,-34.6833,150.8667,73.58,45,1,3.0,AU,1627773751
Jadu,31.953,12.0261,85.57,16,0,12.3,LY,1627773751
Makakilo City,21.3469,-158.0858,88.12,51,20,10.36,US,1627773691
Chokwé,-24.5333,32.9833,59.22,89,0,4.29,MZ,1627773752
Fontem,5.4685,9.8818,65.84,98,99,0.72,CM,1627773752
Gallup,35.5281,-108.7426,78.64,32,1,5.01,US,1627773753
Arman',59.7,150.1667,62.22,52,18,2.66,RU,1627773753
Assiut,27.181,31.1837,88.47,17,22,4.0,EG,1627773753
Mackenzie,55.2999,-123.1698,84.42,39,1,4.61,CA,1627773754
Ranong,9.9658,98.6348,78.73,86,100,13.04,TH,1627773754
Barranca,-10.75,-77.7667,63.59,81,26,11.61,PE,1627773754
Rincon,32.296,-81.2354,93.16,64,75,9.22,US,1627773755
Pachino,36.7186,15.0907,89.6,53,0,11.63,IT,1627773755
Port Augusta,-32.5,137.7667,51.71,82,29,2.84,AU,1627773559
Touros,-5.1989,-35.4608,79.7,79,85,16.46,BR,1627773755
Boden,65.8252,21.6886,60.8,99,72,3.74,SE,1627773756
Caniço,32.6333,-16.85,72.23,68,20,14.97,PT,1627773756
Ontario,34.0633,-117.6509,104.05,31,20,7.0,US,1627773756
Koungou,-12.7336,45.2042,76.71,69,20,18.41,YT,1627773757
Palu,-0.8917,119.8707,76.91,91,77,2.82,ID,1627773719
Danilov,58.1908,40.1717,57.51,86,28,7.23,RU,1627773757
Ngunguru,-35.6167,174.5,62.17,64,11,13.22,NZ,1627773757
Darhan,49.4867,105.9228,59.74,87,84,0.94,MN,1627773758
Hirtshals,57.5881,9.9592,60.85,75,97,28.57,DK,1627773758
Maceió,-9.6658,-35.7353,76.44,83,40,12.66,BR,1627773602
Tvøroyri,61.5556,-6.8111,47.59,74,86,10.25,FO,1627773758
Tezu,27.9167,96.1667,75.83,99,99,2.33,IN,1627773759
Praia da Vitória,38.7333,-27.0667,73.76,88,40,10.36,PT,1627773759
Sayyan,15.1718,44.3244,62.13,70,37,4.63,YE,1627773759
Eucaliptus,-17.5833,-67.5167,48.2,47,38,9.91,BO,1627773760
Kano,12.0001,8.5167,76.89,88,0,6.91,NG,1627773760
Trofors,65.5333,13.4063,51.15,82,94,5.1,NO,1627773761
Laas,46.6166,10.7002,62.06,95,95,2.57,IT,1627773761
Carmona,14.3,121.0167,82.65,77,100,11.5,PH,1627773761
Mahibadhoo,3.7833,72.9667,81.59,76,94,9.24,MV,1627773762
Trepuzzi,40.4056,18.0756,83.64,60,0,1.14,IT,1627773762
Honningsvåg,70.9821,25.9704,45.95,86,100,9.46,NO,1627773762
Usinsk,65.9939,57.5281,51.35,96,100,12.48,RU,1627773763
Ţahţā,26.7693,31.5021,89.42,17,22,4.25,EG,1627773487
Gemena,3.25,19.7667,71.78,95,100,1.28,CD,1627773763
Ft. Pierce,27.4467,-80.3256,91.08,68,1,8.99,US,1627773764
